id,total_subjects,overwritten_subjects,business_and_management,marketing,management_information_systems,introduction_to_informatics,calculus_1,calculus_2,probability_and_statistics,artificial_intelligence,microprocessor_systems,distributed_systems,theory_of_information,electric_circuits,electrotechnics,physics,modern_physics,direction
8000,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
8001,34,6,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
8002,31,1,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
8003,33,11,False,True,True,True,True,True,False,False,True,False,False,False,False,False,False,null
8004,25,12,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,null
8005,28,6,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,PET
8006,5,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,null
8007,31,4,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
8008,32,8,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
8009,28,13,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,null
8010,31,1,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
8011,31,7,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
8012,30,2,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
8013,10,0,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,null
8014,30,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
8015,30,0,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
8016,32,3,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
8017,32,3,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
8018,31,11,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,null
8019,32,10,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,null
8020,30,11,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,PET
8021,31,7,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
8022,20,5,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,null
8023,33,4,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
8024,5,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,null
8025,20,5,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,null
8026,33,3,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
8027,31,5,False,False,False,True,True,True,True,True,False,False,False,True,False,True,True,null
8028,34,6,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
8029,10,4,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,null
8030,30,7,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
8031,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
8032,33,4,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
8033,31,14,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,null
8034,30,10,False,False,True,True,True,True,False,False,True,False,False,False,False,False,False,null
8035,31,1,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
8036,32,0,True,True,True,True,True,True,True,False,False,False,True,False,False,False,False,PET
8037,30,0,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
8038,30,2,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
8039,32,7,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
8040,10,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,null
8041,21,5,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,null
8042,25,11,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,null
8043,34,7,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,PET
8044,32,11,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,null
8045,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
8046,29,3,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
8047,31,5,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
8048,30,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
8049,31,7,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
8050,15,2,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,null
8051,34,9,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
8052,31,1,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
8053,30,0,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,PET
8054,30,8,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,null
8055,33,6,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
8056,31,6,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
8057,31,3,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
8058,31,1,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
8059,31,3,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
8060,31,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
8061,30,1,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
8062,31,11,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,null
8063,30,8,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,null
8064,31,11,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,null
8065,31,16,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,null
8066,18,2,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,null
8067,30,9,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
8068,30,3,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
8069,21,10,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,null
8070,5,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,null
