id,total_subjects,overwritten_subjects,business_and_management,marketing,management_information_systems,introduction_to_informatics,calculus_1,calculus_2,probability_and_statistics,artificial_intelligence,microprocessor_systems,distributed_systems,theory_of_information,electric_circuits,electrotechnics,physics,modern_physics,direction
7700,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
7701,33,0,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
7702,31,4,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
7703,30,1,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
7704,31,11,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
7705,31,1,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
7706,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
7707,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
7708,31,1,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
7709,32,5,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
7710,30,2,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
7711,25,10,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,null
7712,30,8,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
7713,32,1,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,IKI
7714,31,1,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
7715,33,2,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
7716,30,0,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
7717,31,6,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
7718,30,0,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
7719,31,2,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
7720,30,0,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
7721,31,2,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
7722,30,0,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
7723,17,3,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,null
7724,31,9,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
7725,30,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
7726,33,6,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
7727,33,6,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
7728,25,0,False,False,True,True,True,True,True,False,True,False,False,False,False,False,False,null
7729,31,1,False,False,False,False,True,True,True,True,False,False,True,True,True,True,True,IKI
7730,30,14,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,null
7731,34,6,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
7732,30,13,False,False,False,True,True,True,False,False,False,False,False,True,True,True,True,IKI
7733,5,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,null
7734,30,0,False,False,False,False,True,True,True,True,False,False,True,True,True,True,True,IKI
7735,32,4,False,False,True,True,True,True,True,False,False,True,True,False,False,False,False,MT
7736,30,7,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
7737,30,7,False,False,False,False,True,True,True,False,False,False,False,True,True,True,True,IKI
7738,32,1,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,PET
7739,33,8,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,PET
7740,30,0,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
7741,32,5,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
7742,30,0,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
7743,30,2,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
7744,30,1,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,null
