id,total_subjects,overwritten_subjects,business_and_management,marketing,management_information_systems,introduction_to_informatics,calculus_1,calculus_2,probability_and_statistics,artificial_intelligence,microprocessor_systems,distributed_systems,theory_of_information,electric_circuits,electrotechnics,physics,modern_physics,direction
5000,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5001,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5002,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5003,59,22,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,PET
5004,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5005,52,12,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,KNI
5006,43,13,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5007,37,20,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5008,56,19,False,True,True,True,True,True,False,True,True,False,False,False,False,False,False,null
5009,59,25,True,True,False,True,True,True,False,False,False,False,False,False,False,True,True,null
5010,50,7,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
5011,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5012,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5013,51,17,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
5014,53,9,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
5015,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5016,55,19,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
5017,58,29,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
5018,53,19,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
5019,52,10,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
5020,63,26,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,PET
5021,51,12,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
5022,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5023,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5025,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5026,50,9,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
5027,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5028,44,0,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,KNI
5029,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5030,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5031,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5032,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5033,48,10,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
5034,60,15,True,True,True,True,True,True,True,False,False,False,True,False,False,False,False,PET
5035,57,17,False,True,True,False,True,True,True,True,True,True,True,False,False,True,True,null
5036,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5037,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5038,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5039,36,5,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,null
5040,57,21,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
5041,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5042,56,11,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,PET
5043,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5044,64,23,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,PET
5045,40,19,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,null
5046,56,13,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,PET
5047,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5048,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5049,52,11,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
5050,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5051,52,9,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,PET
5052,54,11,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,PET
5053,33,16,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,null
5054,51,22,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
5055,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5056,60,19,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,null
5057,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5058,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5059,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5060,58,25,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
5061,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5062,34,19,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,null
5063,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5064,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5065,40,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
5066,54,25,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
5067,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5068,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5069,58,19,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
5070,51,24,False,False,True,True,True,True,False,True,True,False,False,False,False,False,False,null
5071,54,23,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
5072,41,21,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
5073,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5074,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5075,47,9,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
5076,28,6,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,null
5077,57,37,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,PET
5078,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5079,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5080,39,24,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,null
5081,56,25,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
5082,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5083,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5084,45,17,True,True,True,True,True,True,True,False,False,False,True,False,False,False,False,PET
5085,52,23,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,PET
5086,43,9,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,PET
5087,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5088,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5089,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5090,26,13,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,null
5091,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5092,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5093,40,2,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,PET
5094,57,16,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,PET
5095,57,29,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,PET
5096,56,6,True,True,False,True,True,True,True,False,True,True,True,False,False,False,False,MT
5097,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5098,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5099,57,20,True,False,False,True,True,True,True,True,True,True,True,False,False,True,True,MT
5100,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5101,37,0,True,True,False,True,True,True,True,True,True,True,True,False,False,True,True,MT
5102,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5103,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5104,60,19,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
5105,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5106,63,34,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,PET
5107,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5108,54,12,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
5109,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5110,58,28,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
5111,30,15,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,null
5112,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5113,57,29,True,True,False,True,True,True,False,False,False,False,False,False,False,True,True,null
5114,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5115,58,15,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,PET
5116,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5117,50,11,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
5118,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5119,54,10,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
5120,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5121,58,25,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,null
5122,53,20,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
5123,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5124,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5125,36,25,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,null
5126,49,28,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,PET
5127,35,18,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,null
5128,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5129,49,11,False,False,False,True,True,True,True,False,True,True,True,False,False,False,False,MT
5130,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5131,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5132,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5133,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5134,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5135,52,12,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
5136,36,22,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,null
5137,57,22,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,PET
5138,64,48,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,null
5139,59,11,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
5140,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5141,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5142,58,14,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
5143,48,21,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
5144,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5145,57,25,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
5146,57,21,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,PET
5147,52,12,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
5148,25,14,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,null
5149,44,3,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
5150,65,23,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,null
5151,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5152,60,16,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
5153,55,12,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
5154,57,21,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,PET
5155,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5156,57,15,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
5157,62,13,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
5158,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5159,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5160,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5161,56,12,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
5162,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5163,49,10,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,PET
5164,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5165,61,10,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,KNI
5166,42,3,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
5167,43,20,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
5168,54,15,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
5169,57,32,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
5170,53,33,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,null
5171,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5172,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5173,61,8,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,PET
5174,35,14,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
5175,59,19,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,PET
5176,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5177,58,19,True,True,True,True,True,True,True,False,False,False,True,False,False,False,False,PET
5178,64,24,True,True,True,False,True,True,True,False,True,True,False,False,False,True,True,null
5179,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5180,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5181,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,null
5182,47,7,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,PET
